ID	TYPE	TIME	SRC	REPLICATE
X1212	Cold	1	Shoots	2
X1311	Cold	3	Shoots	1
X1312	Cold	3	Shoots	2
X1411	Cold	6	Shoots	1
X1412	Cold	6	Shoots	2
X1511	Cold	12	Shoots	1
X1512	Cold	12	Shoots	2
X1611	Cold	24	Shoots	1
X1612	Cold	24	Shoots	2
X2111	Osmotic	0.5	Shoots	1
X2112	Osmotic	0.5	Shoots	2
X2211	Osmotic	1	Shoots	1
X2212	Osmotic	1	Shoots	2
X2311	Osmotic	3	Shoots	1
X2312	Osmotic	3	Shoots	2
X2411	Osmotic	6	Shoots	1
X2412	Osmotic	6	Shoots	2
X2511	Osmotic	12	Shoots	1
X2512	Osmotic	12	Shoots	2
X2611	Osmotic	24	Shoots	1
X2612	Osmotic	24	Shoots	2
X3111	Salt	0.5	Shoots	1
X3112	Salt	0.5	Shoots	2
X3211	Salt	1	Shoots	1
X3212	Salt	1	Shoots	2
X3311	Salt	3	Shoots	1
X3312	Salt	3	Shoots	2
X3411	Salt	6	Shoots	1
X3412	Salt	6	Shoots	2
X3511	Salt	12	Shoots	1
X3512	Salt	12	Shoots	2
X3611	Salt	24	Shoots	1
X3612	Salt	24	Shoots	2
X4711	Drought	0.25	Shoots	1
X4712	Drought	0.25	Shoots	2
X4111	Drought	0.5	Shoots	1
X4112	Drought	0.5	Shoots	2
X4211	Drought	1	Shoots	1
X4212	Drought	1	Shoots	2
X4311	Drought	3	Shoots	1
X4312	Drought	3	Shoots	2
X4411	Drought	6	Shoots	1
X4412	Drought	6	Shoots	2
X4511	Drought	12	Shoots	1
X4512	Drought	12	Shoots	2
X4611	Drought	24	Shoots	1
X4612	Drought	24	Shoots	2
X5111	Genotoxic	0.5	Shoots	1
X5112	Genotoxic	0.5	Shoots	2
X5211	Genotoxic	1	Shoots	1
X5212	Genotoxic	1	Shoots	2
X5311	Genotoxic	3	Shoots	1
X5312	Genotoxic	3	Shoots	2
X5411	Genotoxic	6	Shoots	1
X5412	Genotoxic	6	Shoots	2
X5511	Genotoxic	12	Shoots	1
X5512	Genotoxic	12	Shoots	2
X5611	Genotoxic	24	Shoots	1
X5612	Genotoxic	24	Shoots	2
X6111	Oxidative	0.5	Shoots	1
X6112	Oxidative	0.5	Shoots	2
X6211	Oxidative	1	Shoots	1
X6212	Oxidative	1	Shoots	2
X6311	Oxidative	3	Shoots	1
X6312	Oxidative	3	Shoots	2
X6411	Oxidative	6	Shoots	1
X6412	Oxidative	6	Shoots	2
X6511	Oxidative	12	Shoots	1
X6512	Oxidative	12	Shoots	2
X6611	Oxidative	24	Shoots	1
X6612	Oxidative	24	Shoots	2
X7711	UV-B	0.25	Shoots	1
X7712	UV-B	0.25	Shoots	2
X7111	UV-B	0.5	Shoots	1
X7112	UV-B	0.5	Shoots	2
X7211	UV-B	1	Shoots	1
X7212	UV-B	1	Shoots	2
X7311	UV-B	3	Shoots	1
X7312	UV-B	3	Shoots	2
X7411	UV-B	6	Shoots	1
X7412	UV-B	6	Shoots	2
X7511	UV-B	12	Shoots	1
X7512	UV-B	12	Shoots	2
X7611	UV-B	24	Shoots	1
X7612	UV-B	24	Shoots	2
X8715	Wounding	0.25	Shoots	1
X8712	Wounding	0.25	Shoots	2
X8111	Wounding	0.5	Shoots	1
X8112	Wounding	0.5	Shoots	2
X8211	Wounding	1	Shoots	1
X8214	Wounding	1	Shoots	2
X8313	Wounding	3	Shoots	1
X8314	Wounding	3	Shoots	2
X8411	Wounding	6	Shoots	1
X8412	Wounding	6	Shoots	2
X8511	Wounding	12	Shoots	1
X8512	Wounding	12	Shoots	2
X8611	Wounding	24	Shoots	1
X8612	Wounding	24	Shoots	2
X9711	Heat	0.25	Shoots	1
X9712	Heat	0.25	Shoots	2
X9111	Heat	0.5	Shoots	1
X9112	Heat	0.5	Shoots	2
X9211	Heat	1	Shoots	1
X9212	Heat	1	Shoots	2
X9311	Heat	3	Shoots	1
X9312	Heat	3	Shoots	2
X9811	HeatAndRecovery_3_X	4	Shoots	1
X9812	HeatAndRecovery_3_X	4	Shoots	2
X9411	HeatAndRecovery_3_X	6	Shoots	1
X9412	HeatAndRecovery_3_X	6	Shoots	2
X9511	HeatAndRecovery_3_X	12	Shoots	1
X9512	HeatAndRecovery_3_X	12	Shoots	2
X9611	HeatAndRecovery_3_X	24	Shoots	1
X9612	HeatAndRecovery_3_X	24	Shoots	2
C0_1	Control	0	CellCulture	1
C0_2	Control	0	CellCulture	2
C1_1	Control	3	CellCulture	1
C1_2	Control	3	CellCulture	2
C2_1	Control	6	CellCulture	1
C2_2	Control	6	CellCulture	2
C3_1	Control	12	CellCulture	1
C3_2	Control	12	CellCulture	2
C4_1	Control	24	CellCulture	1
C4_2	Control	24	CellCulture	2
C5_1	Heat	0.25	CellCulture	1
C5_2	Heat	0.25	CellCulture	2
C6_1	Heat	0.5	CellCulture	1
C6_2	Heat	0.5	CellCulture	2
C7_1	Heat	1	CellCulture	1
C7_2	Heat	1	CellCulture	2
C8_1	Heat	3	CellCulture	1
C8_2	Heat	3	CellCulture	2
C9_1	HeatAndRecovery_3_X	4	CellCulture	1
C9_2	HeatAndRecovery_3_X	4	CellCulture	2
C10_1	HeatAndRecovery_3_X	6	CellCulture	1
C10_2	HeatAndRecovery_3_X	6	CellCulture	2
C11_1	HeatAndRecovery_3_X	12	CellCulture	1
C11_2	HeatAndRecovery_3_X	12	CellCulture	2
C12_1	HeatAndRecovery_3_X	24	CellCulture	1
C12_2	HeatAndRecovery_3_X	24	CellCulture	2
